station_name;borough
St. Mary Axe, Aldgate;City of London
Jewry Street, Aldgate;City of London
Central House, Aldgate;City of London
Leman Street, Aldgate;City of London
Braham Street, Aldgate;City of London
Houndsditch, Aldgate;City of London
Graham Street, Angel;Islington
Claremont Square, Angel;Islington
Rodney Street, Angel;Islington
Risinghill Street, Angel;Islington
Islington Green, Angel;Islington
Chadwell Street, Angel;Islington
Liverpool Road (N1 Centre), Angel;Islington
Torrens Street, Angel;Islington
City Road, Angel;Islington
Charlotte Terrace, Angel;Islington
Cloudesley Road, Angel;Islington
Sirdar Road, Avondale;Kensington and Chelsea
Grenfell Road, Avondale;Kensington and Chelsea
Rifle Place, Avondale;Kensington and Chelsea
Walmer Road, Avondale;Kensington and Chelsea
Freston Road, Avondale;Kensington and Chelsea
Clarendon Road, Avondale;Kensington and Chelsea
Evesham Street, Avondale;Kensington and Chelsea
Queen Street 2, Bank;Westminster
Cheapside, Bank;Westminster
Queen Street, Bank;Westminster
Queen Street 1, Bank;Westminster
Bank of England Museum, Bank;Westminster
Lavington Street, Bankside;Southwark
Southwark Street, Bankside;Southwark
New Globe Walk, Bankside;Southwark
Park Street, Bankside;Southwark
Tate Modern, Bankside;Southwark
Poured Lines, Bankside;Southwark
Bankside Mix, Bankside;Southwark
Golden Lane, Barbican;City of London
Barbican Centre, Barbican;City of London
Museum of London, Barbican;City of London
Aldersgate Street, Barbican;City of London
Heath Road, Battersea;Wandsworth
Holden Street, Battersea;Wandsworth
Hibbert Street, Battersea;Wandsworth
Battersea Church Road, Battersea;Wandsworth
Culvert Road, Battersea;Wandsworth
Silverthorne Road, Battersea;Wandsworth
Orbel Street, Battersea;Wandsworth
Sheepcote Lane, Battersea;Wandsworth
Ingrave Street, Battersea;Wandsworth
Sugden Road, Battersea;Wandsworth
Ashley Crescent, Battersea;Wandsworth
Vicarage Crescent, Battersea;Wandsworth
Simpson Street, Battersea;Wandsworth
Westbridge Road, Battersea;Wandsworth
Fawcett Close, Battersea;Wandsworth
Austin Road, Battersea;Wandsworth
Surrey Lane, Battersea;Wandsworth
Stanley Grove, Battersea;Wandsworth
Usk Road, Battersea;Wandsworth
Bradmead, Battersea Park;Wandsworth
Sopwith Way, Battersea Park;Wandsworth
Battersea Power Station, Battersea Park;Wandsworth
Ethelburga Estate, Battersea Park;Wandsworth
Albert Bridge Road, Battersea Park;Wandsworth
Austin Road, Battersea Park;Wandsworth
Gas Holders, Battersea Park;Wandsworth
Queen's Circus, Battersea Park;Wandsworth
Alfreda Street, Battersea Park;Wandsworth
Prince of Wales Drive, Battersea Park;Wandsworth
Cleveland Gardens, Bayswater;Wandsworth
Gloucester Terrace, Bayswater;Wandsworth
Bishop's Bridge Road West, Bayswater;Wandsworth
Hereford Road, Bayswater;Wandsworth
Whiteley's, Bayswater;Wandsworth
Ilchester Gardens, Bayswater;Wandsworth
Bishop's Bridge Road East, Bayswater;Wandsworth
Princes Square, Bayswater;Wandsworth
Orsett Terrace, Bayswater;Wandsworth
Lancaster Gate , Bayswater;Wandsworth
Westbourne Grove, Bayswater;Wandsworth
Devonshire Terrace, Bayswater;Wandsworth
Grosvenor Crescent, Belgravia;Westminster
Eaton Square, Belgravia;Westminster
Bourne Street, Belgravia;Westminster
Eaton Square (South), Belgravia;Westminster
Belgrave Square, Belgravia;Westminster
Crimscott Street, Bermondsey;Southwark
South Bermondsey Station, Bermondsey;Southwark
Bermondsey Station, Bermondsey;Southwark
Tanner Street, Bermondsey;Southwark
The Blue, Bermondsey;Southwark
Tooley Street, Bermondsey;Southwark
George Row, Bermondsey;Southwark
One Tower Bridge, Bermondsey;Southwark
Clements Road, Bermondsey;Southwark
Long Lane , Bermondsey;Southwark
Bermondsey Street, Bermondsey;Southwark
Tower Wharf, Bermondsey;Southwark
Harris Academy, Bermondsey;Southwark
Tyers Gate, Bermondsey;Southwark
Durant Street, Bethnal Green;Tower Hamlets
Wellington Row, Bethnal Green;Tower Hamlets
Bethnal Green Gardens, Bethnal Green;Tower Hamlets
Cleveland Way, Bethnal Green;Tower Hamlets
Bethnal Green Garden, Bethnal Green;Tower Hamlets
Finnis Street, Bethnal Green;Tower Hamlets
Bancroft Road, Bethnal Green;Tower Hamlets
Old Ford Road, Bethnal Green;Tower Hamlets
York Hall, Bethnal Green;Tower Hamlets
Cephas Street, Bethnal Green;Tower Hamlets
Pott Street, Bethnal Green;Tower Hamlets
Pritchard's Road, Bethnal Green;Tower Hamlets
Globe Town Market, Bethnal Green;Tower Hamlets
Clarkson Street, Bethnal Green;Tower Hamlets
Hollybush Gardens, Bethnal Green;Tower Hamlets
Cheshire Street, Bethnal Green;Tower Hamlets
East India DLR, Blackwall;Tower Hamlets
Naval Row, Blackwall;Tower Hamlets
Lancaster Drive, Blackwall;Tower Hamlets
Taviton Street, Bloomsbury;Camden
Tavistock Place, Bloomsbury;Camden
Brunswick Square, Bloomsbury;Camden
British Museum, Bloomsbury;Camden
Guilford Street , Bloomsbury;Camden
Alfred Place, Bloomsbury;Camden
Cartwright Gardens , Bloomsbury;Camden
Bedford Way, Bloomsbury;Camden
Bayley Street , Bloomsbury;Camden
Malet Street, Bloomsbury;Camden
Coram Street, Bloomsbury;Camden
Russell Square Station, Bloomsbury;Camden
Great Russell Street, Bloomsbury;Camden
Store Street, Bloomsbury;Camden
Cromer Street, Bloomsbury;Camden
Harper Road, Borough;Southwark
Great Dover Street, Borough;Southwark
Dickens Square, Borough;Southwark
New Kent Road, Borough;Southwark
Bricklayers Arms, Borough;Southwark
Southern Grove, Bow;Hackney
Bow Church Station, Bow;Hackney
Bow Road Station, Bow;Hackney
Mostyn Grove, Bow;Hackney
Ackroyd Drive, Bow;Hackney
Cantrell Road, Bow;Hackney
Devons Road, Bow;Hackney
Bromley High Street, Bow;Hackney
Malmesbury Road, Bow;Hackney
Furze Green, Bow;Hackney
Merchant Street, Bow;Hackney
Ferndale Road, Brixton;Lambeth
Saltoun Road, Brixton;Lambeth
St John's Crescent, Brixton;Lambeth
Ferndale Road, Brixton. ;Lambeth
Bromley High Street, Bromley;Bromley
Brook Green South, Brook Green;Hammersmith and Fulham
Little Brook Green, Brook Green;Hammersmith and Fulham
York Way, Camden;Camden
Bonny Street, Camden Town;Camden
Hawley Crescent, Camden Town;Camden
Harrington Square 1, Camden Town;Camden
Castlehaven Road, Camden Town;Camden
Gloucester Avenue, Camden Town;Camden
Royal College Street, Camden Town;Camden
St Martin's Close, Camden Town;Camden
Arlington Road, Camden Town;Camden
Harrington Square 2, Camden Town;Camden
Harrington Square, Camden Town;Camden
Greenland Road, Camden Town;Camden
St Martins Close, Camden Town;Camden
Eversholt Street , Camden Town;Camden
Parkway, Camden Town;Camden
Cartier Circle, Canary Wharf;Tower Hamlets
Import Dock, Canary Wharf;Tower Hamlets
Montgomery Square, Canary Wharf;Tower Hamlets
Heron Quays DLR, Canary Wharf;Tower Hamlets
Fishermans Walk West, Canary Wharf;Tower Hamlets
Churchill Place, Canary Wharf;Tower Hamlets
Fisherman's Walk West, Canary Wharf;Tower Hamlets
South Quay East, Canary Wharf;Tower Hamlets
Upper Bank Street, Canary Wharf;Tower Hamlets
Jubilee Plaza, Canary Wharf;Tower Hamlets
Westferry Circus, Canary Wharf;Tower Hamlets
South Quay West, Canary Wharf;Tower Hamlets
Ormonde Gate, Chelsea;Kensington and Chelsea
Cadogan Gardens, Chelsea;Kensington and Chelsea
Phene Street, Chelsea;Kensington and Chelsea
Royal Avenue 2, Chelsea;Kensington and Chelsea
St. Luke's Church, Chelsea;Kensington and Chelsea
South Parade, Chelsea;Kensington and Chelsea
The Vale, Chelsea;Kensington and Chelsea
Royal Avenue 1, Chelsea;Kensington and Chelsea
Limerston Street, Chelsea;Kensington and Chelsea
Chelsea Green, Chelsea;Kensington and Chelsea
Manresa Road, Chelsea;Kensington and Chelsea
Drayton Gardens, Chelsea;Kensington and Chelsea
Flood Street, Chelsea;Kensington and Chelsea
Sugden Road, Clapham;Wandsworth
Gauden Road, Clapham;Wandsworth
Clapham Common North Side, Clapham Common;Lambeth
Clapham Common Northside, Clapham Common;Lambeth
Clapham Common North side, Clapham Common;Lambeth
Victoria Rise, Clapham Common;Lambeth
Clapham Common Station, Clapham Common;Lambeth
Limburg Road, Clapham Common;Lambeth
Abyssinia Close, Clapham Junction;Lambeth
Grant Road Central, Clapham Junction;Lambeth
Falcon Road, Clapham Junction;Lambeth
Grant Road West, Clapham Junction;Lambeth
Limburg Road, Clapham Junction;Lambeth
Hibbert Street, Clapham Junction;Lambeth
Ingrave Street, Clapham Junction;Lambeth
Nantes Close, Clapham Junction;Lambeth
Spanish Road, Clapham Junction;Lambeth
Usk Road, Clapham Junction;Lambeth
Dorothy Road, Clapham Junction;Lambeth
Simpson Street, Clapham Junction;Lambeth
Fawcett Close, Clapham Junction;Lambeth
Plough Terrace, Clapham Junction;Lambeth
St. John's Road, Clapham Junction;Lambeth
Grant Road East, Clapham Junction;Lambeth
Clerkenwell Green, Clerkenwell;Islington
Hardwick Street, Clerkenwell;Islington
Great Percy Street, Clerkenwell;Islington
Berry Street, Clerkenwell;Islington
Ampton Street , Clerkenwell;Islington
Tysoe Street, Clerkenwell;Islington
Margery Street, Clerkenwell;Islington
River Street , Clerkenwell;Islington
Farringdon Lane, Clerkenwell;Islington
Earnshaw Street , Covent Garden;Camden
Tavistock Street, Covent Garden;Camden
Newton Street, Covent Garden;Camden
High Holborn , Covent Garden;Camden
Drury Lane, Covent Garden;Camden
Kingsway, Covent Garden;Camden
Victoria and Albert Museum, Cromwell Road;Barnet
Preston's Road, Cubitt Town;Tower Hamlets
Saunders Ness Road, Cubitt Town;Tower Hamlets
Stebondale Street, Cubitt Town;Tower Hamlets
St John's Park, Cubitt Town;Tower Hamlets
East Ferry Road, Cubitt Town;Tower Hamlets
St. John's Park, Cubitt Town;Tower Hamlets
Mudchute DLR, Cubitt Town;Tower Hamlets
Castalia Square, Cubitt Town;Tower Hamlets
Jubilee Crescent, Cubitt Town;Tower Hamlets
Hertford Road, De Beauvoir Town;Hackney
Nevern Place, Earl's Court;Kensington and Chelsea
Penywern Road, Earl's Court;Kensington and Chelsea
Trebovir Road, Earl's Court;Kensington and Chelsea
Knaresborough Place, Earl's Court;Kensington and Chelsea
Collingham Gardens, Earl's Court;Kensington and Chelsea
Bramham Gardens, Earl's Court;Kensington and Chelsea
West Cromwell Road, Earl's Court;Kensington and Chelsea
Putney Bridge Road, East Putney;Wandsworth
Upper Richmond Road, East Putney;Wandsworth
Manfred Road, East Putney;Wandsworth
Mexfield Road, East Putney;Wandsworth
Gaywood  Street, Elephant & Castle;Southwark
Ontario Street, Elephant & Castle;Southwark
LSBU (Borough Road), Elephant & Castle;Southwark
Borough Road, Elephant & Castle;Southwark
Strata, Elephant & Castle;Southwark
Walworth Road, Elephant & Castle;Southwark
Geraldine Street, Elephant & Castle;Southwark
Westminster Bridge Road, Elephant & Castle;Southwark
Hampstead Road (Cartmel), Euston;Camden
Euston Square Gardens, Euston;Camden
Drummond Street , Euston;Camden
Endsleigh Gardens, Euston;Camden
Euston Road, Euston;Camden
Warren Street Station, Euston;Camden
Hampstead Road, Euston;Camden
Gower Place , Euston;Camden
Melton Street, Euston;Camden
Snow Hill, Farringdon;City of London
West Smithfield Rotunda, Farringdon;City of London
Percival Street, Finsbury;Islington
Goswell Road (City Uni), Finsbury;Islington
Sadlers Sports Centre, Finsbury;Islington
St. John Street, Finsbury;Islington
Finsbury Library , Finsbury;Islington
Bolsover Street, Fitzrovia;Westminster
Great Titchfield Street, Fitzrovia;Westminster
Wells Street, Fitzrovia;Westminster
Charlotte Street, Fitzrovia;Westminster
Scala Street, Fitzrovia;Westminster
Rathbone Street, Fitzrovia;Westminster
Howland Street, Fitzrovia;Westminster
Foley Street, Fitzrovia;Westminster
Rathbone Street, Fitzrovia ;Westminster
Wells Street, Fitzrovia ;Westminster
Aintree Street, Fulham;Hammersmith and Fulham
Chesilton Road, Fulham;Hammersmith and Fulham
Humbolt Road, Fulham;Hammersmith and Fulham
Crabtree Lane, Fulham;Hammersmith and Fulham
Halford Road, Fulham;Hammersmith and Fulham
Bishop's Avenue, Fulham;Hammersmith and Fulham
Elysium Place, Fulham;Hammersmith and Fulham
Putney Bridge Station, Fulham;Hammersmith and Fulham
St. Peter's Terrace, Fulham;Hammersmith and Fulham
Finlay Street, Fulham;Hammersmith and Fulham
Fulham Park Road, Fulham;Hammersmith and Fulham
Normand Park, Fulham;Hammersmith and Fulham
Everington Street, Fulham;Hammersmith and Fulham
Ranelagh Gardens, Fulham;Hammersmith and Fulham
Abingdon Green, Great College Street;Westminster
Wood Street, Guildhall;Waltham Forest
Fore Street, Guildhall;Waltham Forest
The Guildhall, Guildhall;Waltham Forest
Fore Street Avenue, Guildhall;Waltham Forest
Worship Street, Hackney;Hackney
Ada Street, Hackney Central;Hackney
Victoria Park Road, Hackney Central;Hackney
London Fields, Hackney Central;Hackney
Lansdowne Drive, Hackney Central;Hackney
Lansdown Drive, Hackney Central;Hackney
Monier Road, Hackney Wick;Hackney
Goldsmith's Row, Haggerston;Hackney
Regent's Row , Haggerston;Hackney
Thurtle Road, Haggerston;Hackney
Haggerston Road, Haggerston;Hackney
Goldsmiths Row, Haggerston;Hackney
Belford House, Haggerston;Hackney
Whiston Road, Haggerston;Hackney
Thurtle road, Haggerston;Hackney
Dunston Road , Haggerston;Hackney
Shoreditch Court, Haggerston;Hackney
Queensbridge Road, Haggerston;Hackney
Hoxton Station, Haggerston;Hackney
Regent's Row , Haggerston ;Hackney
Haggerston Road, Haggerston ;Hackney
Beryl Road, Hammersmith;Hammersmith and Fulham
Greyhound Road, Hammersmith;Hammersmith and Fulham
Ravenscourt Park Station, Hammersmith;Hammersmith and Fulham
Hammersmith Road, Hammersmith;Hammersmith and Fulham
Rainville Road, Hammersmith;Hammersmith and Fulham
Crisp Road, Hammersmith;Hammersmith and Fulham
Manbre Road, Hammersmith;Hammersmith and Fulham
Charing Cross Hospital, Hammersmith;Hammersmith and Fulham
Bridge Avenue, Hammersmith;Hammersmith and Fulham
Southerton Road, Hammersmith;Hammersmith and Fulham
Hammersmith Town Hall, Hammersmith;Hammersmith and Fulham
Colet Gardens, Hammersmith;Hammersmith and Fulham
Theobald's Road , Holborn;Camden
Theobalds Road , Holborn;Camden
Red Lion Square, Holborn;Camden
Holborn Circus, Holborn;Camden
Wren Street, Holborn;Camden
Stonecutter Street, Holborn;Camden
Southampton Place, Holborn;Camden
Breams Buildings, Holborn;Camden
Farringdon Street, Holborn;Camden
Bury Place, Holborn;Camden
Portugal Street, Holborn;Camden
Carey Street, Holborn;Camden
Northington Street , Holborn;Camden
Sardinia Street, Holborn;Camden
Hatton Garden, Holborn;Camden
New Fetter Lane, Holborn;Camden
Lincoln's Inn Fields, Holborn;Camden
Chancery Lane, Holborn;Camden
St. Bride Street, Holborn;Camden
Hatton Wall, Holborn;Camden
Red Lion Street, Holborn;Camden
Addison Road, Holland Park;Waltham Forest
Hansard Mews, Holland Park;Waltham Forest
Princedale Road , Holland Park;Waltham Forest
Russell Gardens, Holland Park;Waltham Forest
Abbotsbury Road, Holland Park;Waltham Forest
New North Road 1, Hoxton;Hackney
Murray Grove , Hoxton;Hackney
Wenlock Road , Hoxton;Hackney
New North Road 2, Hoxton;Hackney
Pitfield Street North,Hoxton;Hackney
Pitfield Street Central, Hoxton;Hackney
Falkirk Street, Hoxton;Hackney
East Road, Hoxton;Hackney
Eagle Wharf Road, Hoxton;Hackney
Hoxton Station, Hoxton;Hackney
Windsor Terrace, Hoxton;Hackney
Shoreditch Park, Hoxton;Hackney
Pitfield Street (North),Hoxton;Hackney
Fanshaw Street, Hoxton;Hackney
Hoxton Street, Hoxton;Hackney
Park Lane , Hyde Park;Westminster
Hyde Park Corner, Hyde Park;Westminster
Triangle Car Park, Hyde Park;Westminster
Speakers' Corner 1, Hyde Park;Westminster
Speakers' Corner 2, Hyde Park;Westminster
Albert Gate, Hyde Park;Westminster
Cumberland Gate, Hyde Park;Westminster
Wellington Arch, Hyde Park;Westminster
Serpentine Car Park, Hyde Park;Westminster
Knightsbridge, Hyde Park;Westminster
Bayswater Road, Hyde Park;Westminster
Imperial Wharf Station;Hammersmith and Fulham
Import Dock;UNKNOWN
Kennington Cross, Kennington;Lambeth
Doddington Grove, Kennington;Lambeth
Cleaver Street, Kennington;Lambeth
Kennington Station, Kennington;Lambeth
Cotton Garden Estate, Kennington;Lambeth
Argyll Road, Kensington;Kensington and Chelsea
Abingdon Villas, Kensington;Kensington and Chelsea
De Vere Gardens, Kensington;Kensington and Chelsea
Kensington Church Street, Kensington;Kensington and Chelsea
Gloucester Road (North), Kensington;Kensington and Chelsea
Wright's Lane, Kensington;Kensington and Chelsea
Lexham Gardens, Kensington;Kensington and Chelsea
Phillimore Gardens, Kensington;Kensington and Chelsea
Holland Park, Kensington;Kensington and Chelsea
Marloes Road, Kensington;Kensington and Chelsea
Vicarage Gate, Kensington;Kensington and Chelsea
Kensington Town Hall, Kensington;Kensington and Chelsea
Ilchester Place, Kensington;Kensington and Chelsea
Queen's Gate (North), Kensington;Kensington and Chelsea
Derry Street, Kensington;Kensington and Chelsea
Queensway, Kensington Gardens;Kensington and Chelsea
Black Lion Gate, Kensington Gardens;Kensington and Chelsea
Queen's Gate, Kensington Gardens;Kensington and Chelsea
Palace Gate, Kensington Gardens;Kensington and Chelsea
Good's Way, King's Cross;Camden
Calshot Street , King's Cross;Camden
Crinan Street, King's Cross;Camden
Pancras Road, King's Cross;Camden
St. Chad's Street, King's Cross;Camden
Carnegie Street, King's Cross;Camden
Belgrove Street , King's Cross;Camden
Killick Street, King's Cross;Camden
Northdown Street, King's Cross;Camden
Handyside Street, King's Cross;Camden
Birkenhead Street, King's Cross;Camden
York Way, Kings Cross;Camden
Killick Street, Kings Cross;Camden
Exhibition Road Museums, Knightsbridge;Kensington and Chelsea
Imperial College, Knightsbridge;Kensington and Chelsea
Denyer Street, Knightsbridge;Kensington and Chelsea
Seville Street, Knightsbridge;Kensington and Chelsea
Exhibition Road, Knightsbridge;Kensington and Chelsea
Kensington Gore, Knightsbridge;Kensington and Chelsea
Pont Street, Knightsbridge;Kensington and Chelsea
Prince Consort Road, Knightsbridge;Kensington and Chelsea
Holy Trinity Brompton, Knightsbridge;Kensington and Chelsea
Cadogan Place, Knightsbridge;Kensington and Chelsea
Harriet Street, Knightsbridge;Kensington and Chelsea
Montpelier Street, Knightsbridge;Kensington and Chelsea
Sloane Avenue, Knightsbridge;Kensington and Chelsea
Ladbroke Grove Central, Ladbroke Grove;Redbridge
Blenheim Crescent, Ladbroke Grove;Redbridge
Lansdowne Walk, Ladbroke Grove;Redbridge
Lansdowne Road, Ladbroke Grove;Redbridge
Oval Way, Lambeth;Lambeth
Flamborough Street, Limehouse;Tower Hamlets
Salmon Lane, Limehouse;Tower Hamlets
Westferry DLR, Limehouse;Tower Hamlets
Brushfield Street, Liverpool Street;City of London
Wormwood Street, Liverpool Street;City of London
Bell Lane, Liverpool Street;City of London
Devonshire Square, Liverpool Street;City of London
Norton Folgate, Liverpool Street;City of London
Finsbury Circus, Liverpool Street;City of London
Pindar Street, Liverpool Street;City of London
Appold Street, Liverpool Street;City of London
Sun Street, Liverpool Street;City of London
Christopher Street, Liverpool Street;City of London
Snowsfields, London Bridge;Southwark
Duke Street Hill, London Bridge;Southwark
LSP1;UNKNOWN
LSP2;UNKNOWN
Warwick Avenue Station, Maida Vale;Westminster
Maida Vale, Maida Vale;Westminster
Clifton Road, Maida Vale;Westminster
Beaumont Street, Marylebone;Westminster
George Place Mews, Marylebone;Westminster
Dorset Square, Marylebone;Westminster
Penfold Street, Marylebone;Westminster
Broadley Terrace, Marylebone;Westminster
Shouldham Street, Marylebone;Westminster
Westminster University, Marylebone;Westminster
Portland Place, Marylebone;Westminster
Harrowby Street, Marylebone;Westminster
Marylebone Lane, Marylebone;Westminster
Edgware Road Station, Marylebone;Westminster
